RANK_CO,PBLPRFR_NM,GENRE_NM,PBLPRFR_BEGIN_DE,PBLPRFR_END_DE,AREA_NM,PBLPRFR_PLACE_NM,RDNMADR_NM,LC_LA,LC_LO
1,엘리자벳 10주년 기념공연,뮤지컬,20220830,20221113,서울특별시,블루스퀘어,서울특별시 용산구 이태원로 294 (한남동),37.5408717,127.0024401
2,킹키부츠,뮤지컬,20220720,20221023,서울특별시,충무아트센터,서울특별시 중구 퇴계로 387 (흥인동),37.5660139,127.0148131
3,미세스 다웃파이어,뮤지컬,20220830,20221108,서울특별시,샤롯데씨어터,서울특별시 송파구 올림픽로 240 (잠실동),37.5105162,127.100563
4,배니싱,뮤지컬,20220830,20221113,서울특별시,대학로 아트원씨어터,서울특별시 종로구 대학로12길 83 (동숭동),37.5802316,127.0040004
5,서편제,뮤지컬,20220812,20221023,서울특별시,광림아트센터,서울특별시 강남구 논현로163길 33 (신사동),37.5238342,127.0251165
6,지저스 크라이스트 수퍼스타 50주년 기념 한국 공연,뮤지컬,20221110,20230115,서울특별시,광림아트센터,서울특별시 강남구 논현로163길 33 (신사동),37.5238342,127.0251165
7,아트 (ART),연극,20220917,20221211,서울특별시,예스24 스테이지(구. DCF대명문화공장),서울특별시 종로구 대학로12길 21 (동숭동),37.5827158,127.0032484
8,킹키부츠 [대구],뮤지컬,20221104,20221113,대구광역시,계명아트센터,대구광역시 달서구 달구벌대로 1095 - 0 계명대학교,35.8570982,128.487147
9,마틸다,뮤지컬,20221005,20230226,서울특별시,디큐브아트센터,"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)",37.5084321,126.8887332
10,브론테,뮤지컬,20220904,20221113,서울특별시,대학로자유극장,서울특별시 종로구 대학로12길 31 (동숭동),37.5827026,127.0036052
11,히스토리 보이즈,연극,20221001,20221120,서울특별시,두산아트센터,서울특별시 종로구 종로33길 15 (연지동),37.571729,127.0011893
12,사의찬미 10th Anniversary,뮤지컬,20220727,20221009,서울특별시,티오엠씨어터(구. 문화공간필링),서울특별시 종로구 대학로8가길 85 (동숭동),37.5822467,127.0037166
13,랭보,뮤지컬,20221018,20230101,서울특별시,티오엠씨어터(구. 문화공간필링),서울특별시 종로구 대학로8가길 85 (동숭동),37.5822467,127.0037166
14,빨래,뮤지컬,20211105,20230129,서울특별시,유니플렉스,서울특별시 종로구 대학로12길 64,37.5811328,127.0036997
15,두 교황,연극,20220830,20221030,서울특별시,한전아트센터,서울특별시 서초구 서초동 1355,37.485683,127.028023
