RANK_CO,PBLPRFR_NM,GENRE_NM,PBLPRFR_BEGIN_DE,PBLPRFR_END_DE,AREA_NM,PBLPRFR_PLACE_NM,RDNMADR_NM,LC_LA,LC_LO
1,NCT DREAM TOUR THE DREAM SHOW2 In YOUR DREAM,대중음악,20230601,20230603,서울특별시,고척스카이돔,서울특별시 구로구 경인로 430,37.4982126,126.8670887
2,오페라의 유령 [부산],뮤지컬,20230325,20230618,부산광역시,드림씨어터 [부산],부산광역시 남구 전포대로 133 (문현동),35.1482786,129.0654385
3,오페라의 유령 [서울],뮤지컬,20230721,20231117,서울특별시,샤롯데씨어터,서울특별시 송파구 올림픽로 240 (잠실동),37.5105162,127.100563
4,맘마미아!,뮤지컬,20230324,20230625,서울특별시,충무아트센터,서울특별시 중구 퇴계로 387 (흥인동),37.5660139,127.0148131
5,모차르트!,뮤지컬,20230615,20230822,서울특별시,세종문화회관,서울특별시 종로구 세종대로 175 (세종로),37.5725254,126.9756429
6,TAEYEON CONCERT: The ODD Of LOVE,대중음악,20230603,20230604,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
7,데스노트 [대구],뮤지컬,20230630,20230716,대구광역시,계명아트센터,대구광역시 달서구 달구벌대로 1095 - 0 계명대학교,35.8570982,128.487147
8,"현대카드 슈퍼콘서트 27, 브루노 마스: the Purple osee",대중음악,20230617,20230618,서울특별시,잠실종합운동장,서울특별시 송파구 올림픽로 25 (잠실동),37.5161925,127.0759221
9,시카고,뮤지컬,20230527,20230806,서울특별시,블루스퀘어,서울특별시 용산구 이태원로 294 (한남동),37.5408717,127.0024401
10,식스 더 뮤지컬 (한국어),뮤지컬,20230331,20230625,서울특별시,코엑스 아티움,서울특별시 강남구 삼성동 영동대로 513 코엑스아티움,37.509993,127.061477
11,영웅 [서울 용산],뮤지컬,20230317,20230521,서울특별시,블루스퀘어,서울특별시 용산구 이태원로 294 (한남동),37.5408717,127.0024401
12,그날들,뮤지컬,20230712,20230903,서울특별시,예술의전당,서울특별시 서초구 남부순환로 2406 (서초동),37.4786896,127.0118241
13,인천펜타포트락페스티벌,대중음악,20230804,20230806,인천광역시,송도달빛축제공원,인천광역시 연수구 센트럴로 350,37.4078538,126.6325097
14,데스노트 (The Musical Death Note) [부산],뮤지컬,20230726,20230806,부산광역시,부산시민회관,부산광역시 동구 자성로133번길 16 (범일동),35.138781,129.065255
15,"SUGA, Agust D TOUR D-DAY in SEOUL",대중음악,20230624,20230625,서울특별시,잠실종합운동장,서울특별시 송파구 올림픽로 25 (잠실동),37.5161925,127.0759221
16,와일드 그레이,뮤지컬,20230608,20230903,서울특별시,대학로 아트원씨어터,서울특별시 종로구 대학로12길 83 (동숭동),37.5802316,127.0040004
17,"Weverse Con Festival, DAY PASS",대중음악,20230610,20230611,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
18,"마마무 월드 투어: MY CON, ENCORE [서울]",대중음악,20230616,20230618,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
19,브라더스 까라마조프,뮤지컬,20230325,20230618,서울특별시,예스24 스테이지(구. DCF대명문화공장),서울특별시 종로구 대학로12길 21 (동숭동),37.5827158,127.0032484
20,할란카운티,뮤지컬,20230516,20230716,서울특별시,한전아트센터,서울특별시 서초구 서초동 1355,37.485683,127.028023
21,데스노트,뮤지컬,20230328,20230618,서울특별시,샤롯데씨어터,서울특별시 송파구 올림픽로 240 (잠실동),37.5105162,127.100563
22,트레이스 유,뮤지컬,20230511,20230820,서울특별시,링크아트센터,서울특별시 종로구 대학로14길 29,37.58469,127.0022947
23,레드북,뮤지컬,20230314,20230528,서울특별시,홍익대 대학로 아트센터,서울특별시 종로구 대학로 57,37.5769696,127.0020331
24,(G)I-DLE WORLD TOUR: I am FREE-TY IN SEOUL,대중음악,20230617,20230618,서울특별시,잠실종합운동장,서울특별시 송파구 올림픽로 25 (잠실동),37.5161925,127.0759221
25,쿠로이 저택엔 누가 살고 있을까?,뮤지컬,20230502,20230723,서울특별시,플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터),서울특별시 종로구 대학로12길 73 (동숭동),37.5807747,127.0039649
26,친정엄마,뮤지컬,20230328,20230604,서울특별시,디큐브아트센터,"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)",37.5084321,126.8887332
27,비스티,뮤지컬,20230516,20230813,서울특별시,링크아트센터,서울특별시 종로구 대학로14길 29,37.58469,127.0022947
28,포레스텔라 전국투어 콘서트: The Light [서울],서양음악(클래식),20230617,20230618,서울특별시,장충체육관,서울특별시 중구 장충동 동호로 241,37.558166,127.006717
29,나르치스와 골드문트,뮤지컬,20230415,20230702,서울특별시,티오엠씨어터(구. 문화공간필링),서울특별시 종로구 대학로8가길 85 (동숭동),37.5822467,127.0037166
30,제29회 드림콘서트,대중음악,20230527,20230527,부산광역시,부산아시아드 경기장,부산광역시 연제구 월드컵대로 344,35.1900874,129.058356
31,백작 [대학로],뮤지컬,20230605,20230827,서울특별시,대학로 아트원씨어터,서울특별시 종로구 대학로12길 83 (동숭동),37.5802316,127.0040004
32,나무 위의 군대,연극,20230620,20230805,서울특별시,LG아트센터,서울특별시 강남구 논현로 508 (역삼동),37.5022937,127.0375211
33,라흐 헤스트,뮤지컬,20230613,20230903,서울특별시,대학로 드림아트센터,서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터,37.5820171,127.0035363
34,이승윤 전국투어 콘서트: DOCKING [서울 앵콜],대중음악,20230701,20230702,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
35,온 더 비트,연극,20230517,20230625,서울특별시,티오엠씨어터(구. 문화공간필링),서울특별시 종로구 대학로8가길 85 (동숭동),37.5822467,127.0037166
36,"양요섭 솔로 콘서트, BITTER SWEET",대중음악,20230610,20230611,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
37,드림하이,뮤지컬,20230513,20230723,서울특별시,광림아트센터,서울특별시 강남구 논현로163길 33 (신사동),37.5238342,127.0251165
38,"D＆E WORLD TOUR FANCON, DElight Party",대중음악,20230624,20230625,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
39,해적,뮤지컬,20230307,20230611,서울특별시,서경대학교 공연예술센터,서울특별시 종로구 동숭길 148 (혜화동),37.5820171,127.0035363
40,호프: 읽히지 않은 책과 읽히지 않은 인생,뮤지컬,20230316,20230611,서울특별시,유니플렉스,서울특별시 종로구 대학로12길 64,37.5811328,127.0036997
41,베토벤: Beethoven Secret SEASON 2,뮤지컬,20230414,20230515,서울특별시,세종문화회관,서울특별시 종로구 세종대로 175 (세종로),37.5725254,126.9756429
42,멤피스,뮤지컬,20230720,20231022,서울특별시,충무아트센터,서울특별시 중구 퇴계로 387 (흥인동),37.5660139,127.0148131
43,일무,무용,20230525,20230528,서울특별시,세종문화회관,서울특별시 종로구 세종대로 175 (세종로),37.5725254,126.9756429
44,"THE BOYZ 2ND WORLD TOUR, ZENERATION",대중음악,20230519,20230521,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
45,PEAK FESTIVAL,대중음악,20230527,20230528,서울특별시,난지한강공원,서울특별시 마포구 한강난지로 162,37.5628372,126.8854229
46,장구의 신 박서진 Show [대구],대중음악,20230617,20230618,대구광역시,엑스코 컨벤션홀,대구 북구 엑스코로 10,35.906844,128.613313
47,톤앤뮤직 페스티벌,대중음악,20230603,20230604,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
48,파워풀 K 트롯 페스티벌,대중음악,20230520,20230520,대구광역시,대구스타디움,대구광역시 수성구 유니버시아드로 180,35.8297681,128.6901638
49,히스토리 보이즈,연극,20230613,20230813,서울특별시,두산아트센터,서울특별시 종로구 종로33길 15 (연지동),37.571729,127.0011893
50,스크루테이프 [서울],연극,20230429,20230610,서울특별시,LG아트센터,서울특별시 강남구 논현로 508 (역삼동),37.5022937,127.0375211
