RANK_CO,PBLPRFR_NM,GENRE_NM,PBLPRFR_BEGIN_DE,PBLPRFR_END_DE,AREA_NM,PBLPRFR_PLACE_NM,RDNMADR_NM,LC_LA,LC_LO
1,데스노트,뮤지컬,20230328,20230618,서울특별시,샤롯데씨어터,서울특별시 송파구 올림픽로 240 (잠실동),37.5105162,127.100563
2,파우스트,연극,20230331,20230429,서울특별시,LG아트센터,서울특별시 강남구 논현로 508 (역삼동),37.5022937,127.0375211
3,오페라의 유령 [부산],뮤지컬,20230325,20230618,부산광역시,드림씨어터 [부산],부산광역시 남구 전포대로 133 (문현동),35.1482786,129.0654385
4,미스터트롯2 전국투어 콘서트 [서울],대중음악,20230505,20230507,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
5,베토벤: Beethoven Secret SEASON 2,뮤지컬,20230414,20230515,서울특별시,세종문화회관,서울특별시 종로구 세종대로 175 (세종로),37.5725254,126.9756429
6,영웅 [서울 용산],뮤지컬,20230317,20230521,서울특별시,블루스퀘어,서울특별시 용산구 이태원로 294 (한남동),37.5408717,127.0024401
7,맘마미아!,뮤지컬,20230324,20230625,서울특별시,충무아트센터,서울특별시 중구 퇴계로 387 (흥인동),37.5660139,127.0148131
8,레드북,뮤지컬,20230314,20230528,서울특별시,홍익대 대학로 아트센터,서울특별시 종로구 대학로 57,37.5769696,127.0020331
9,Red Velvet 4th Concert: R to V,대중음악,20230401,20230402,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
10,해적,뮤지컬,20230307,20230611,서울특별시,서경대학교 공연예술센터,서울특별시 종로구 동숭길 148 (혜화동),37.5820171,127.0035363
11,TWICE 5TH WORLD TOUR: READY TO BE,대중음악,20230415,20230416,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
