RANK_CO,PBLPRFR_NM,GENRE_NM,PBLPRFR_BEGIN_DE,PBLPRFR_END_DE,AREA_NM,PBLPRFR_PLACE_NM,RDNMADR_NM,LC_LA,LC_LO
1,베토벤: Beethoven Secret,뮤지컬,20230112,20230326,서울특별시,예술의전당,서울특별시 서초구 남부순환로 2406 (서초동),37.4786896,127.0118241
2,오페라의 유령 [부산],뮤지컬,20230325,20230618,부산광역시,드림씨어터 [부산],부산광역시 남구 전포대로 133 (문현동),35.1482786,129.0654385
3,물랑루즈!,뮤지컬,20221216,20230305,서울특별시,블루스퀘어,서울특별시 용산구 이태원로 294 (한남동),37.5408717,127.0024401
4,셰익스피어 인 러브,연극,20230128,20230326,서울특별시,예술의전당,서울특별시 서초구 남부순환로 2406 (서초동),37.4786896,127.0118241
5,데스노트,뮤지컬,20230328,20230618,서울특별시,샤롯데씨어터,서울특별시 송파구 올림픽로 240 (잠실동),37.5105162,127.100563
6,캣츠 오리지널 내한 [서울],뮤지컬,20230120,20230312,서울특별시,세종문화회관,서울특별시 종로구 세종대로 175 (세종로),37.5725254,126.9756429
7,제15회 서울재즈페스티벌,대중음악,20230526,20230528,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
8,레드북,뮤지컬,20230314,20230528,서울특별시,홍익대 대학로 아트센터,서울특별시 종로구 대학로 57,37.5769696,127.0020331
9,뷰티풀 민트 라이프,대중음악,20230513,20230514,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
10,"TOMORROW x TOGETHER WORLD TOUR, ACT: SWEET MIRAGE [서울]",대중음악,20230325,20230326,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
11,마틸다,뮤지컬,20221005,20230226,서울특별시,디큐브아트센터,"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)",37.5084321,126.8887332
12,SG워너비 콘서트: 우리의 노래 [서울],대중음악,20230331,20230402,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
13,스위니토드,뮤지컬,20221201,20230305,서울특별시,샤롯데씨어터,서울특별시 송파구 올림픽로 240 (잠실동),37.5105162,127.100563
14,영웅 [서울 용산],뮤지컬,20230317,20230521,서울특별시,블루스퀘어,서울특별시 용산구 이태원로 294 (한남동),37.5408717,127.0024401
15,해적,뮤지컬,20230307,20230611,서울특별시,서경대학교 공연예술센터,서울특별시 종로구 동숭길 148 (혜화동),37.5820171,127.0035363
16,윤하 콘서트: c/2023YH [서울(앵콜)],대중음악,20230311,20230312,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
17,미드나잇: 앤틀러스,뮤지컬,20230131,20230423,서울특별시,플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터),서울특별시 종로구 대학로12길 73 (동숭동),37.5807747,127.0039649
18,광염 소나타,뮤지컬,20230313,20230604,서울특별시,대학로 드림아트센터,서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터,37.5820171,127.0035363
19,이프덴,뮤지컬,20221208,20230226,서울특별시,홍익대 대학로 아트센터,서울특별시 종로구 대학로 57,37.5769696,127.0020331
20,ONEW 1st CONCERT: O-NEW-NOTE,대중음악,20230303,20230305,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
21,여신님이 보고 계셔 10th Anniversary,뮤지컬,20221108,20230301,서울특별시,유니플렉스,서울특별시 종로구 대학로12길 64,37.5811328,127.0036997
22,아마데우스,연극,20230212,20230411,서울특별시,세종문화회관,서울특별시 종로구 세종대로 175 (세종로),37.5725254,126.9756429
23,인터뷰,뮤지컬,20230304,20230528,서울특별시,예스24 스테이지(구. DCF대명문화공장),서울특별시 종로구 대학로12길 21 (동숭동),37.5827158,127.0032484
24,파우스트,연극,20230331,20230429,서울특별시,LG아트센터,서울특별시 강남구 논현로 508 (역삼동),37.5022937,127.0375211
25,루드윅: 베토벤 더 피아노 [서울],뮤지컬,20221220,20230312,서울특별시,예스24 스테이지(구. DCF대명문화공장),서울특별시 종로구 대학로12길 21 (동숭동),37.5827158,127.0032484
26,데미안,뮤지컬,20230115,20230326,서울특별시,대학로 드림아트센터,서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터,37.5820171,127.0035363
27,불타는 트롯맨 전국투어 콘서트 [서울],대중음악,20230429,20230430,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
28,결투,뮤지컬,20230205,20230417,서울특별시,대학로 드림아트센터,서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터,37.5820171,127.0035363
29,영웅,뮤지컬,20221221,20230228,서울특별시,LG아트센터,서울특별시 강남구 논현로 508 (역삼동),37.5022937,127.0375211
30,로빈,뮤지컬,20230109,20230409,서울특별시,티오엠씨어터(구. 문화공간필링),서울특별시 종로구 대학로8가길 85 (동숭동),37.5822467,127.0037166
31,종의 기원,뮤지컬,20221218,20230305,서울특별시,대학로 드림아트센터,서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터,37.5820171,127.0035363
32,천사에 관하여: 타락천사 편,뮤지컬,20230117,20230312,서울특별시,대학로 드림아트센터,서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터,37.5820171,127.0035363
33,일라이,뮤지컬,20230210,20230430,서울특별시,링크아트센터,서울특별시 종로구 대학로14길 29,37.58469,127.0022947
34,캣츠 오리지널 내한 [경주],뮤지컬,20230317,20230319,경상북도,경주예술의전당,경상북도 경주시 알천북로 1 (황성동),35.862297,129.20602
35,맘마미아!,뮤지컬,20230324,20230625,서울특별시,충무아트센터,서울특별시 중구 퇴계로 387 (흥인동),37.5660139,127.0148131
36,"BoA 20th Anniversary Live, THE BoA: Musicality",대중음악,20230311,20230312,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
37,은밀하게 위대하게: THE LAST,뮤지컬,20230304,20230507,서울특별시,KT&G 상상마당 대치아트홀,서울특별시 강남구 영동대로 416 (대치동),37.5065437,127.0653516
38,오펀스(Orphans),연극,20221129,20230226,서울특별시,대학로 아트원씨어터,서울특별시 종로구 대학로12길 83 (동숭동),37.5802316,127.0040004
39,LUCY 네 번째 단독 콘서트: INSERT COIN: amusement park,대중음악,20230304,20230305,서울특별시,블루스퀘어,서울특별시 용산구 이태원로 294 (한남동),37.5408717,127.0024401
40,웨스트 사이드 스토리,뮤지컬,20221117,20230226,서울특별시,충무아트센터,서울특별시 중구 퇴계로 387 (흥인동),37.5660139,127.0148131
41,브라더스 까라마조프,뮤지컬,20230325,20230618,서울특별시,예스24 스테이지(구. DCF대명문화공장),서울특별시 종로구 대학로12길 21 (동숭동),37.5827158,127.0032484
42,권진아 단독 공연: The Flag,대중음악,20230331,20230402,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
43,뷰티풀 선데이,연극,20230120,20230402,서울특별시,대학로 아트원씨어터,서울특별시 종로구 대학로12길 83 (동숭동),37.5802316,127.0040004
44,장민호 단독 콘서트: 호시절 (好時節) [서울(앵콜)],대중음악,20230304,20230305,서울특별시,경희대학교,서울특별시 동대문구 경희대로 26,37.5939491,127.054891
45,식스 더 뮤지컬 (한국어),뮤지컬,20230331,20230625,서울특별시,코엑스 아티움,서울특별시 강남구 삼성동 영동대로 513 코엑스아티움,37.509993,127.061477
46,비밀의 화원,뮤지컬,20230310,20230430,서울특별시,국립정동극장,서울특별시 중구 정동길 43 (정동),37.5659672,126.9728593
47,빵야,연극,20230131,20230226,서울특별시,LG아트센터,서울특별시 강남구 논현로 508 (역삼동),37.5022937,127.0375211
48,쏜애플 콘서트: 검은 별,대중음악,20230408,20230408,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
49,보이체크 인 더 다크,뮤지컬,20230207,20230430,서울특별시,링크아트센터,서울특별시 종로구 대학로14길 29,37.58469,127.0022947
50,히사이시 조 영화음악 콘서트 [서울],서양음악(클래식),20230326,20230326,서울특별시,롯데콘서트홀,서울특별시 송파구 올림픽로 300 (신천동) 롯데월드몰 8층 롯데문화재단,37.5130605,127.103495
