RANK_CO,PBLPRFR_NM,GENRE_NM,PBLPRFR_BEGIN_DE,PBLPRFR_END_DE,AREA_NM,PBLPRFR_PLACE_NM,RDNMADR_NM,LC_LA,LC_LO
1,태양의서커스: 뉴 알레그리아,뮤지컬,20221020,20230101,서울특별시,잠실종합운동장,서울특별시 송파구 올림픽로 25 (잠실동),37.5161925,127.0759221
2,엘리자벳 10주년 기념공연,뮤지컬,20220830,20221113,서울특별시,블루스퀘어,서울특별시 용산구 이태원로 294 (한남동),37.5408717,127.0024401
3,미세스 다웃파이어,뮤지컬,20220830,20221108,서울특별시,샤롯데씨어터,서울특별시 송파구 올림픽로 240 (잠실동),37.5105162,127.100563
4,마틸다,뮤지컬,20221005,20230226,서울특별시,디큐브아트센터,"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)",37.5084321,126.8887332
5,스위니토드,뮤지컬,20221201,20230305,서울특별시,샤롯데씨어터,서울특별시 송파구 올림픽로 240 (잠실동),37.5105162,127.100563
6,"유니버설발레단, 호두까기인형 [서울]",무용,20221222,20221231,서울특별시,세종문화회관,서울특별시 종로구 세종대로 175 (세종로),37.5725254,126.9756429
7,물랑루즈!,뮤지컬,20221216,20230305,서울특별시,블루스퀘어,서울특별시 용산구 이태원로 294 (한남동),37.5408717,127.0024401
8,웨스트 사이드 스토리,뮤지컬,20221117,20230226,서울특별시,충무아트센터,서울특별시 중구 퇴계로 387 (흥인동),37.5660139,127.0148131
9,지저스 크라이스트 수퍼스타 50주년 기념 한국 공연,뮤지컬,20221110,20230115,서울특별시,광림아트센터,서울특별시 강남구 논현로163길 33 (신사동),37.5238342,127.0251165
10,푸에르자 부르타 웨이라 인 서울,뮤지컬,20220929,20230102,서울특별시,잠실종합운동장,서울특별시 송파구 올림픽로 25 (잠실동),37.5161925,127.0759221
11,영웅,뮤지컬,20221221,20230228,서울특별시,LG아트센터,서울특별시 강남구 논현로 508 (역삼동),37.5022937,127.0375211
12,브로드웨이 42번가,뮤지컬,20221105,20230115,서울특별시,예술의전당,서울특별시 서초구 남부순환로 2406 (서초동),37.4786896,127.0118241
13,킹키부츠 [부산],뮤지컬,20221224,20230101,부산광역시,드림씨어터 [부산],부산광역시 남구 전포대로 133 (문현동),35.1482786,129.0654385
14,아트 (ART),연극,20220917,20221211,서울특별시,예스24 스테이지(구. DCF대명문화공장),서울특별시 종로구 대학로12길 21 (동숭동),37.5827158,127.0032484
15,히스토리 보이즈,연극,20221001,20221120,서울특별시,두산아트센터,서울특별시 종로구 종로33길 15 (연지동),37.571729,127.0011893
16,여신님이 보고 계셔 10th Anniversary,뮤지컬,20221108,20230301,서울특별시,유니플렉스,서울특별시 종로구 대학로12길 64,37.5811328,127.0036997
17,삼총사,뮤지컬,20220916,20221106,서울특별시,유니버설아트센터,서울특별시 광진구 천호대로 664 (능동),37.5505555,127.0882624
18,영웅 [대구],뮤지컬,20221203,20221210,대구광역시,계명아트센터,대구광역시 달서구 달구벌대로 1095 - 0 계명대학교,35.8570982,128.487147
19,브론테,뮤지컬,20220904,20221113,서울특별시,대학로자유극장,서울특별시 종로구 대학로12길 31 (동숭동),37.5827026,127.0036052
20,랭보,뮤지컬,20221018,20230101,서울특별시,티오엠씨어터(구. 문화공간필링),서울특별시 종로구 대학로8가길 85 (동숭동),37.5822467,127.0037166
21,빨래,뮤지컬,20211105,20230129,서울특별시,유니플렉스,서울특별시 종로구 대학로12길 64,37.5811328,127.0036997
22,사랑의 불시착,뮤지컬,20220916,20221113,서울특별시,코엑스 아티움,서울특별시 강남구 삼성동 영동대로 513 코엑스아티움,37.509993,127.061477
23,서편제,뮤지컬,20220812,20221023,서울특별시,광림아트센터,서울특별시 강남구 논현로163길 33 (신사동),37.5238342,127.0251165
24,배니싱,뮤지컬,20220830,20221113,서울특별시,대학로 아트원씨어터,서울특별시 종로구 대학로12길 83 (동숭동),37.5802316,127.0040004
25,라흐 헤스트,뮤지컬,20220906,20221113,서울특별시,대학로 드림아트센터,서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터,37.5820171,127.0035363
26,드라큘라,뮤지컬,20221115,20230115,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
27,히사이시 조 영화음악 콘서트 파이널 [서울],클래식,20221112,20221113,서울특별시,롯데콘서트홀,서울특별시 송파구 올림픽로 300 (신천동) 롯데월드몰 8층 롯데문화재단,37.5130605,127.103495
28,러브레터,연극,20221006,20221113,서울특별시,예술의전당,서울특별시 서초구 남부순환로 2406 (서초동),37.4786896,127.0118241
29,트루웨스트,연극,20220906,20221113,서울특별시,티오엠씨어터(구. 문화공간필링),서울특별시 종로구 대학로8가길 85 (동숭동),37.5822467,127.0037166
30,엘리자벳 10주년 기념공연 [대구],뮤지컬,20221216,20221218,대구광역시,계명아트센터,대구광역시 달서구 달구벌대로 1095 - 0 계명대학교,35.8570982,128.487147
31,헤르츠클란,연극,20220905,20221113,서울특별시,브릭스씨어터,서울특별시 종로구 대학로8길 25 (동숭동),37.5809157,127.0037003
32,"안나, 차이코프스키",뮤지컬,20220903,20221030,서울특별시,유니플렉스,서울특별시 종로구 대학로12길 64,37.5811328,127.0036997
33,엘리자벳 10주년 기념공연 [천안],뮤지컬,20221202,20221204,충청남도,천안예술의전당,충청남도 천안시 동남구 성남면 종합휴양지로 185,36.815129,127.1138939
34,금란방,뮤지컬,20221011,20221113,서울특별시,국립정동극장,서울특별시 중구 정동길 43 (정동),37.5659672,126.9728593
35,엘리자벳 10주년 기념공연 [부산],뮤지컬,20221122,20221127,부산광역시,드림씨어터 [부산],부산광역시 남구 전포대로 133 (문현동),35.1482786,129.0654385
36,모딜리아니,뮤지컬,20220914,20221204,서울특별시,예스24 스테이지(구. DCF대명문화공장),서울특별시 종로구 대학로12길 21 (동숭동),37.5827158,127.0032484
37,에곤 실레,뮤지컬,20220914,20221204,서울특별시,예스24 스테이지(구. DCF대명문화공장),서울특별시 종로구 대학로12길 21 (동숭동),37.5827158,127.0032484
38,호두까기 인형 [서울 강동],무용,20221202,20221211,서울특별시,강동아트센터,서울특별시 강동구 동남로 870 (상일동),37.5512205,127.1573425
39,킹키부츠 [성남],뮤지컬,20221119,20221120,경기도,성남아트센터,경기도 성남시 분당구 성남대로 808 (야탑동),37.4027309,127.1312435
40,"웰컴 대학로, 더 라스트맨",뮤지컬,20221115,20221127,서울특별시,서경대학교 공연예술센터,서울특별시 종로구 동숭길 148 (혜화동),37.5820171,127.0035363
41,감괘,무용,20221021,20221022,서울특별시,세종문화회관,서울특별시 종로구 세종대로 175 (세종로),37.5725254,126.9756429
42,인간의 법정,뮤지컬,20220928,20221204,서울특별시,대학로 아트원씨어터,서울특별시 종로구 대학로12길 83 (동숭동),37.5802316,127.0040004
43,트레드밀,뮤지컬,20220928,20221105,서울특별시,CJ아지트 대학로 (구. SM아트홀),서울특별시 종로구 대학로12길 69 (동숭동),37.5809629,127.0039499
44,킹키부츠 [대구],뮤지컬,20221104,20221113,대구광역시,계명아트센터,대구광역시 달서구 달구벌대로 1095 - 0 계명대학교,35.8570982,128.487147
45,용의자X의 헌신,뮤지컬,20221126,20230129,서울특별시,한전아트센터,서울특별시 서초구 서초동 1355,37.485683,127.028023
46,킹키부츠 [고양],뮤지컬,20221217,20221218,경기도,고양아람누리,경기도 고양시 일산동구 중앙로 1286 (마두동) 고양아람누리,37.6614074,126.7743379
47,오만과 편견,연극,20220830,20221120,서울특별시,예스24 스테이지(구. DCF대명문화공장),서울특별시 종로구 대학로12길 21 (동숭동),37.5827158,127.0032484
48,가면산장 살인사건 [서울],연극,20221004,20221127,서울특별시,이화여자대학교,서울특별시 서대문구 이화여대길 52 (대현동),37.5644645,126.9502888
49,두 교황,연극,20220830,20221030,서울특별시,한전아트센터,서울특별시 서초구 서초동 1355,37.485683,127.028023
49,푸른 잿빛 밤,뮤지컬,20221122,20230129,서울특별시,대학로 드림아트센터,서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터,37.5820171,127.0035363
