RANK_CO,PBLPRFR_NM,GENRE_NM,PBLPRFR_BEGIN_DE,PBLPRFR_END_DE,AREA_NM,PBLPRFR_PLACE_NM,RDNMADR_NM,LC_LA,LC_LO
1,"현대카드 슈퍼콘서트 27, 브루노 마스: the Purple osee",대중음악,20230617,20230618,서울특별시,잠실종합운동장,서울특별시 송파구 올림픽로 25 (잠실동),37.5161925,127.0759221
2,데스노트,뮤지컬,20230328,20230618,서울특별시,샤롯데씨어터,서울특별시 송파구 올림픽로 240 (잠실동),37.5105162,127.100563
3,성시경의 축가 콘서트,대중음악,20230602,20230606,서울특별시,연세대학교,서울특별시 서대문구 연세로 50 (신촌동),37.5637867,126.9429135
4,오페라의 유령 [부산],뮤지컬,20230325,20230618,부산광역시,드림씨어터 [부산],부산광역시 남구 전포대로 133 (문현동),35.1482786,129.0654385
5,영웅 [서울 용산],뮤지컬,20230317,20230521,서울특별시,블루스퀘어,서울특별시 용산구 이태원로 294 (한남동),37.5408717,127.0024401
6,맘마미아!,뮤지컬,20230324,20230625,서울특별시,충무아트센터,서울특별시 중구 퇴계로 387 (흥인동),37.5660139,127.0148131
7,조용필 & 위대한탄생 콘서트,대중음악,20230513,20230513,서울특별시,잠실종합운동장,서울특별시 송파구 올림픽로 25 (잠실동),37.5161925,127.0759221
8,"THE BOYZ 2ND WORLD TOUR, ZENERATION",대중음악,20230519,20230521,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
9,베토벤: Beethoven Secret SEASON 2,뮤지컬,20230414,20230515,서울특별시,세종문화회관,서울특별시 종로구 세종대로 175 (세종로),37.5725254,126.9756429
10,광염 소나타,뮤지컬,20230313,20230604,서울특별시,대학로 드림아트센터,서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터,37.5820171,127.0035363
11,레드북,뮤지컬,20230314,20230528,서울특별시,홍익대 대학로 아트센터,서울특별시 종로구 대학로 57,37.5769696,127.0020331
12,시카고,뮤지컬,20230527,20230806,서울특별시,블루스퀘어,서울특별시 용산구 이태원로 294 (한남동),37.5408717,127.0024401
13,브라더스 까라마조프,뮤지컬,20230325,20230618,서울특별시,예스24 스테이지(구. DCF대명문화공장),서울특별시 종로구 대학로12길 21 (동숭동),37.5827158,127.0032484
14,해적,뮤지컬,20230307,20230611,서울특별시,서경대학교 공연예술센터,서울특별시 종로구 동숭길 148 (혜화동),37.5820171,127.0035363
15,"백예린 단독공연, Square",대중음악,20230519,20230521,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
16,식스 더 뮤지컬 (한국어),뮤지컬,20230331,20230625,서울특별시,코엑스 아티움,서울특별시 강남구 삼성동 영동대로 513 코엑스아티움,37.509993,127.061477
17,비스티,뮤지컬,20230516,20230813,서울특별시,링크아트센터,서울특별시 종로구 대학로14길 29,37.58469,127.0022947
18,대구힙합페스티벌,대중음악,20230506,20230507,대구광역시,대구스타디움,대구광역시 수성구 유니버시아드로 180,35.8297681,128.6901638
19,조용필 & 위대한탄생 콘서트 [대구],대중음악,20230527,20230527,대구광역시,대구스타디움,대구광역시 수성구 유니버시아드로 180,35.8297681,128.6901638
