RANK_CO,PBLPRFR_NM,GENRE_NM,PBLPRFR_BEGIN_DE,PBLPRFR_END_DE,AREA_NM,PBLPRFR_PLACE_NM,RDNMADR_NM,LC_LA,LC_LO
1,물랑루즈!,뮤지컬,20221216,20230305,서울특별시,블루스퀘어,서울특별시 용산구 이태원로 294 (한남동),37.5408717,127.0024401
2,베토벤: Beethoven Secret,뮤지컬,20230112,20230326,서울특별시,예술의전당,서울특별시 서초구 남부순환로 2406 (서초동),37.4786896,127.0118241
3,영웅,뮤지컬,20221221,20230228,서울특별시,LG아트센터,서울특별시 강남구 논현로 508 (역삼동),37.5022937,127.0375211
4,스위니토드,뮤지컬,20221201,20230305,서울특별시,샤롯데씨어터,서울특별시 송파구 올림픽로 240 (잠실동),37.5105162,127.100563
5,캣츠 오리지널 내한 [서울],뮤지컬,20230120,20230312,서울특별시,세종문화회관,서울특별시 종로구 세종대로 175 (세종로),37.5725254,126.9756429
6,마틸다,뮤지컬,20221005,20230226,서울특별시,디큐브아트센터,"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)",37.5084321,126.8887332
7,여신님이 보고 계셔 10th Anniversary,뮤지컬,20221108,20230301,서울특별시,유니플렉스,서울특별시 종로구 대학로12길 64,37.5811328,127.0036997
8,이프덴,뮤지컬,20221208,20230226,서울특별시,홍익대 대학로 아트센터,서울특별시 종로구 대학로 57,37.5769696,127.0020331
9,웨스트 사이드 스토리,뮤지컬,20221117,20230226,서울특별시,충무아트센터,서울특별시 중구 퇴계로 387 (흥인동),37.5660139,127.0148131
10,종의 기원,뮤지컬,20221218,20230305,서울특별시,대학로 드림아트센터,서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터,37.5820171,127.0035363
11,셰익스피어 인 러브,연극,20230128,20230326,서울특별시,예술의전당,서울특별시 서초구 남부순환로 2406 (서초동),37.4786896,127.0118241
12,맘마미아!,뮤지컬,20230324,20230625,서울특별시,충무아트센터,서울특별시 중구 퇴계로 387 (흥인동),37.5660139,127.0148131
13,마이클볼튼 내한공연 (Michael Bolton Live in Seoul),대중음악,20230114,20230115,서울특별시,고척스카이돔,서울 구로구 경인로 430,37.4982126,126.8670887
14,오펀스(Orphans),연극,20221129,20230226,서울특별시,대학로 아트원씨어터,서울특별시 종로구 대학로12길 83 (동숭동),37.5802316,127.0040004
15,루드윅: 베토벤 더 피아노 [서울],뮤지컬,20221220,20230312,서울특별시,예스24 스테이지(구. DCF대명문화공장),서울특별시 종로구 대학로12길 21 (동숭동),37.5827158,127.0032484
16,갈매기,연극,20221221,20230205,서울특별시,유니버설아트센터,서울특별시 광진구 천호대로 664 (능동),37.5505555,127.0882624
17,써클차트 뮤직 어워즈,대중음악,20230218,20230218,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
18,aespa 1st Concert: SYNK : HYPER LINE,대중음악,20230225,20230226,서울특별시,잠실종합운동장,서울특별시 송파구 올림픽로 25 (잠실동),37.5161925,127.0759221
19,아마데우스,연극,20230212,20230411,서울특별시,세종문화회관,서울특별시 종로구 세종대로 175 (세종로),37.5725254,126.9756429
20,이승윤 전국투어 콘서트: DOCKING [서울],대중음악,20230218,20230219,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
21,오페라의 유령 [부산],뮤지컬,20230325,20230618,부산광역시,드림씨어터 [부산],부산광역시 남구 전포대로 133 (문현동),35.1482786,129.0654385
22,로빈,뮤지컬,20230109,20230409,서울특별시,티오엠씨어터(구. 문화공간필링),서울특별시 종로구 대학로8가길 85 (동숭동),37.5822467,127.0037166
23,"연극열전 9, 웨이스티드",뮤지컬,20221213,20230226,서울특별시,대학로 아트원씨어터,서울특별시 종로구 대학로12길 83 (동숭동),37.5802316,127.0040004
24,포레스텔라 콘서트: The Royal [서울(앵콜)],서양음악(클래식),20230225,20230226,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
25,매직랜드 매직벌룬쇼,서커스/마술,20230103,20230205,서울특별시,더 씨어터,서울 종로구 대학로3길 10,37.5740507,127.0016594
26,KIM SUNG KYU CONCERT: LIKE YOUR VIBES,대중음악,20230210,20230212,서울특별시,예스24 라이브홀,서울 광진구 구천면로 20,37.5457268,127.1079679
27,미수,뮤지컬,20221203,20230219,서울특별시,대학로자유극장,서울특별시 종로구 대학로12길 31 (동숭동),37.5827026,127.0036052
28,뷰티풀 선데이,연극,20230120,20230402,서울특별시,대학로 아트원씨어터,서울특별시 종로구 대학로12길 83 (동숭동),37.5802316,127.0040004
29,미드나잇: 앤틀러스,뮤지컬,20230131,20230423,서울특별시,플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터),서울특별시 종로구 대학로12길 73 (동숭동),37.5807747,127.0039649
30,호프: 읽히지 않은 책과 읽히지 않은 인생,뮤지컬,20230316,20230611,서울특별시,유니플렉스,서울특별시 종로구 대학로12길 64,37.5811328,127.0036997
31,일라이,뮤지컬,20230210,20230430,서울특별시,링크아트센터,서울 종로구 대학로14길 29,37.58469,127.0022947
32,임재범 전국투어 콘서트 [서울(앵콜)],대중음악,20230211,20230212,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
33,캣츠 오리지널 내한 [대구],뮤지컬,20230331,20230408,대구광역시,계명아트센터,대구광역시 달서구 달구벌대로 1095 - 0 계명대학교,35.8570982,128.487147
34,IVE THE FIRST FAN CONCERT: The Prom Queens,대중음악,20230211,20230212,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
35,올드위키드송,연극,20221210,20230219,서울특별시,예스24 스테이지(구. DCF대명문화공장),서울특별시 종로구 대학로12길 21 (동숭동),37.5827158,127.0032484
36,결투,뮤지컬,20230205,20230417,서울특별시,대학로 드림아트센터,서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터,37.5820171,127.0035363
37,소크라테스 패러독스,뮤지컬,20221214,20230226,서울특별시,서경대학교 공연예술센터,서울특별시 종로구 동숭길 148 (혜화동),37.5820171,127.0035363
38,레드,연극,20221220,20230219,서울특별시,예술의전당,서울특별시 서초구 남부순환로 2406 (서초동),37.4786896,127.0118241
39,장윤정 라이브 콘서트 [군산],대중음악,20230225,20230225,전라북도,월명종합경기장,전북 군산시 번영로 281,35.9627859,126.7460345
