RANK_CO,PBLPRFR_NM,GENRE_NM,PBLPRFR_BEGIN_DE,PBLPRFR_END_DE,AREA_NM,PBLPRFR_PLACE_NM,RDNMADR_NM,LC_LA,LC_LO
1,엘리자벳 10주년 기념공연,뮤지컬,20220830,20221113,서울특별시,블루스퀘어,서울특별시 용산구 이태원로 294 (한남동),37.5408717,127.0024401
2,킹키부츠,뮤지컬,20220720,20221023,서울특별시,충무아트센터,서울특별시 중구 퇴계로 387 (흥인동),37.5660139,127.0148131
3,사의찬미 10th Anniversary,뮤지컬,20220727,20221009,서울특별시,티오엠씨어터(구. 문화공간필링),서울특별시 종로구 대학로8가길 85 (동숭동),37.5822467,127.0037166
4,서편제,뮤지컬,20220812,20221023,서울특별시,광림아트센터,서울특별시 강남구 논현로163길 33 (신사동),37.5238342,127.0251165
5,미세스 다웃파이어,뮤지컬,20220830,20221108,서울특별시,샤롯데씨어터,서울특별시 송파구 올림픽로 240 (잠실동),37.5105162,127.100563
6,배니싱,뮤지컬,20220830,20221113,서울특별시,대학로 아트원씨어터,서울특별시 종로구 대학로12길 83 (동숭동),37.5802316,127.0040004
7,백조의 호수 [예술의전당],무용,20221012,20221016,서울특별시,예술의전당,서울특별시 서초구 남부순환로 2406 (서초동),37.4786896,127.0118241
8,PALMTREE ISLAND 1st GALA CONCERT,뮤지컬,20220923,20220925,서울특별시,잠실종합운동장,서울특별시 송파구 올림픽로 25 (잠실동),37.5161925,127.0759221
9,V 에버 애프터,뮤지컬,20220712,20220912,서울특별시,대학로 드림아트센터,서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터,37.5820171,127.0035363
10,베어 더 뮤지컬,뮤지컬,20200529,20200823,서울특별시,두산아트센터,서울특별시 종로구 종로33길 15 (연지동),37.571729,127.0011893
11,번지점프를 하다,뮤지컬,20220622,20220821,서울특별시,홍익대 대학로 아트센터,서울특별시 종로구 대학로 57,37.5769696,127.0020331
12,삼총사,뮤지컬,20220916,20221106,서울특별시,유니버설아트센터,서울특별시 광진구 천호대로 664 (능동),37.5505555,127.0882624
13,해리 포터와 아즈카반의 죄수™ 인 콘서트,클래식,20221007,20221009,서울특별시,세종문화회관,서울특별시 종로구 세종대로 175 (세종로),37.5725254,126.9756429
14,빨래,뮤지컬,20211105,20230129,서울특별시,유니플렉스,서울특별시 종로구 대학로12길 64,37.5811328,127.0036997
15,미아 파밀리아,뮤지컬,20200609,20200830,서울특별시,예스24 스테이지(구. DCF대명문화공장),서울특별시 종로구 대학로12길 21 (동숭동),37.5827158,127.0032484
