SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,GENRE_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
28543,1,뮤지컬영웅,문화공연,뮤지컬,창작,194,1572,1766,20230627
28544,2,뮤지컬모차르트,문화공연,뮤지컬,라이선스,213,1294,1507,20230627
28545,3,뮤지컬시카고,문화공연,뮤지컬,라이선스,314,1178,1492,20230627
28546,4,뮤지컬시카고,문화공연,뮤지컬,라이선스,314,1178,1492,20230627
28547,5,뮤지컬빨래,문화공연,뮤지컬,창작,168,693,861,20230627
28548,6,뮤지컬레베카,문화공연,뮤지컬,창작,300,461,761,20230627
28549,7,뮤지컬그날들,문화공연,뮤지컬,창작,160,489,649,20230627
28550,8,뮤지컬그날들,문화공연,뮤지컬,창작,160,489,649,20230627
28551,9,뮤지컬그날들,문화공연,뮤지컬,창작,160,489,649,20230627
28552,10,뮤지컬벤허,문화공연,뮤지컬,창작,58,324,382,20230627
