SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,GENRE_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
28493,1,뮤지컬시카고,문화공연,뮤지컬,라이선스,264,1235,1499,20230622
28494,2,뮤지컬시카고,문화공연,뮤지컬,라이선스,264,1235,1499,20230622
28495,3,뮤지컬모차르트,문화공연,뮤지컬,라이선스,258,1097,1355,20230622
28496,4,뮤지컬영웅,문화공연,뮤지컬,창작,160,1008,1168,20230622
28497,5,뮤지컬빨래,문화공연,뮤지컬,창작,133,894,1027,20230622
28498,6,뮤지컬그날들,문화공연,뮤지컬,창작,152,405,557,20230622
28499,7,뮤지컬그날들,문화공연,뮤지컬,창작,152,405,557,20230622
28500,8,뮤지컬그날들,문화공연,뮤지컬,창작,152,405,557,20230622
28501,9,뮤지컬레베카,문화공연,뮤지컬,창작,134,264,398,20230622
28502,10,뮤지컬맘마미아,문화공연,뮤지컬,창작,82,236,318,20230622
