SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,GENRE_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
28393,1,뮤지컬시카고,문화공연,뮤지컬,라이선스,358,1122,1480,20230612
28394,2,뮤지컬시카고,문화공연,뮤지컬,라이선스,358,1122,1480,20230612
28395,3,뮤지컬영웅,문화공연,뮤지컬,창작,222,998,1220,20230612
28396,4,뮤지컬빨래,문화공연,뮤지컬,창작,172,704,876,20230612
28397,5,뮤지컬모차르트,문화공연,뮤지컬,라이선스,189,634,823,20230612
28398,6,뮤지컬그날들,문화공연,뮤지컬,창작,133,243,376,20230612
28399,7,뮤지컬그날들,문화공연,뮤지컬,창작,133,243,376,20230612
28400,8,뮤지컬그날들,문화공연,뮤지컬,창작,133,243,376,20230612
28401,9,뮤지컬맘마미아,문화공연,뮤지컬,창작,96,261,357,20230612
28402,10,뮤지컬오페라의유령,문화공연,뮤지컬,오리지널,65,120,185,20230612
