SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,GENRE_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
28533,1,뮤지컬시카고,문화공연,뮤지컬,라이선스,312,929,1241,20230626
28534,2,뮤지컬시카고,문화공연,뮤지컬,라이선스,312,929,1241,20230626
28535,3,뮤지컬영웅,문화공연,뮤지컬,창작,188,894,1082,20230626
28536,4,뮤지컬모차르트,문화공연,뮤지컬,라이선스,217,826,1043,20230626
28537,5,뮤지컬빨래,문화공연,뮤지컬,창작,164,667,831,20230626
28538,6,뮤지컬그날들,문화공연,뮤지컬,창작,143,441,584,20230626
28539,7,뮤지컬그날들,문화공연,뮤지컬,창작,143,441,584,20230626
28540,8,뮤지컬그날들,문화공연,뮤지컬,창작,143,441,584,20230626
28541,9,뮤지컬레베카,문화공연,뮤지컬,창작,171,386,557,20230626
28542,10,뮤지컬벤허,문화공연,뮤지컬,창작,78,354,432,20230626
