SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,GENRE_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
28473,1,뮤지컬모차르트,문화공연,뮤지컬,라이선스,517,1554,2071,20230620
28474,2,뮤지컬시카고,문화공연,뮤지컬,라이선스,350,1090,1440,20230620
28475,3,뮤지컬시카고,문화공연,뮤지컬,라이선스,350,1090,1440,20230620
28476,4,뮤지컬영웅,문화공연,뮤지컬,창작,165,1014,1179,20230620
28477,5,뮤지컬빨래,문화공연,뮤지컬,창작,167,640,807,20230620
28478,6,뮤지컬레베카,문화공연,뮤지컬,창작,234,567,801,20230620
28479,7,뮤지컬그날들,문화공연,뮤지컬,창작,161,385,546,20230620
28480,8,뮤지컬그날들,문화공연,뮤지컬,창작,161,385,546,20230620
28481,9,뮤지컬그날들,문화공연,뮤지컬,창작,161,385,546,20230620
28482,10,뮤지컬키다리아저씨,문화공연,뮤지컬,뮤지컬,112,336,448,20230620
