SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,GENRE_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
28413,1,뮤지컬시카고,문화공연,뮤지컬,라이선스,346,1535,1881,20230614
28414,2,뮤지컬시카고,문화공연,뮤지컬,라이선스,346,1535,1881,20230614
28415,3,뮤지컬영웅,문화공연,뮤지컬,창작,177,883,1060,20230614
28416,4,뮤지컬모차르트,문화공연,뮤지컬,라이선스,241,808,1049,20230614
28417,5,뮤지컬빨래,문화공연,뮤지컬,창작,145,595,740,20230614
28418,6,뮤지컬그날들,문화공연,뮤지컬,창작,203,376,579,20230614
28419,7,뮤지컬그날들,문화공연,뮤지컬,창작,203,376,579,20230614
28420,8,뮤지컬그날들,문화공연,뮤지컬,창작,203,376,579,20230614
28421,9,뮤지컬맘마미아,문화공연,뮤지컬,창작,89,243,332,20230614
28422,10,뮤지컬오페라의유령,문화공연,뮤지컬,오리지널,75,188,263,20230614
