SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,GENRE_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
28423,1,뮤지컬모차르트,문화공연,뮤지컬,라이선스,252,1219,1471,20230615
28424,2,뮤지컬시카고,문화공연,뮤지컬,라이선스,315,1134,1449,20230615
28425,3,뮤지컬시카고,문화공연,뮤지컬,라이선스,315,1134,1449,20230615
28426,4,뮤지컬영웅,문화공연,뮤지컬,창작,158,898,1056,20230615
28427,5,뮤지컬빨래,문화공연,뮤지컬,창작,158,596,754,20230615
28428,6,뮤지컬그날들,문화공연,뮤지컬,창작,136,380,516,20230615
28429,7,뮤지컬그날들,문화공연,뮤지컬,창작,136,380,516,20230615
28430,8,뮤지컬그날들,문화공연,뮤지컬,창작,136,380,516,20230615
28431,9,뮤지컬오페라의유령,문화공연,뮤지컬,오리지널,129,278,407,20230615
28432,10,뮤지컬맘마미아,문화공연,뮤지컬,창작,68,262,330,20230615
