SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,GENRE_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
28503,1,뮤지컬시카고,문화공연,뮤지컬,라이선스,232,1094,1326,20230623
28504,2,뮤지컬시카고,문화공연,뮤지컬,라이선스,232,1094,1326,20230623
28505,3,뮤지컬모차르트,문화공연,뮤지컬,라이선스,207,986,1193,20230623
28506,4,뮤지컬빨래,문화공연,뮤지컬,창작,147,875,1022,20230623
28507,5,뮤지컬영웅,문화공연,뮤지컬,창작,123,863,986,20230623
28508,6,뮤지컬그날들,문화공연,뮤지컬,창작,138,359,497,20230623
28509,7,뮤지컬그날들,문화공연,뮤지컬,창작,138,359,497,20230623
28510,8,뮤지컬그날들,문화공연,뮤지컬,창작,138,359,497,20230623
28511,9,뮤지컬레베카,문화공연,뮤지컬,창작,94,249,343,20230623
28512,10,뮤지컬맘마미아,문화공연,뮤지컬,창작,41,191,232,20230623
