SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,GENRE_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
28513,1,뮤지컬모차르트,문화공연,뮤지컬,라이선스,93,1626,1719,20230624
28514,2,뮤지컬시카고,문화공연,뮤지컬,라이선스,98,1498,1596,20230624
28515,3,뮤지컬시카고,문화공연,뮤지컬,라이선스,98,1498,1596,20230624
28516,4,뮤지컬빨래,문화공연,뮤지컬,창작,55,974,1029,20230624
28517,5,뮤지컬영웅,문화공연,뮤지컬,창작,55,939,994,20230624
28518,6,뮤지컬그날들,문화공연,뮤지컬,창작,43,396,439,20230624
28519,7,뮤지컬그날들,문화공연,뮤지컬,창작,43,396,439,20230624
28520,8,뮤지컬그날들,문화공연,뮤지컬,창작,43,396,439,20230624
28521,9,뮤지컬레베카,문화공연,뮤지컬,창작,34,218,252,20230624
28522,10,뮤지컬맘마미아,문화공연,뮤지컬,창작,18,231,249,20230624
