SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,GENRE_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
28403,1,뮤지컬시카고,문화공연,뮤지컬,라이선스,357,1406,1763,20230613
28404,2,뮤지컬시카고,문화공연,뮤지컬,라이선스,357,1406,1763,20230613
28405,3,뮤지컬모차르트,문화공연,뮤지컬,라이선스,242,907,1149,20230613
28406,4,뮤지컬영웅,문화공연,뮤지컬,창작,203,897,1100,20230613
28407,5,뮤지컬빨래,문화공연,뮤지컬,창작,191,607,798,20230613
28408,6,뮤지컬맘마미아,문화공연,뮤지컬,창작,79,262,341,20230613
28409,7,뮤지컬그날들,문화공연,뮤지컬,창작,105,234,339,20230613
28410,8,뮤지컬그날들,문화공연,뮤지컬,창작,105,234,339,20230613
28411,9,뮤지컬그날들,문화공연,뮤지컬,창작,105,234,339,20230613
28412,10,뮤지컬오페라의유령,문화공연,뮤지컬,오리지널,71,136,207,20230613
