SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,GENRE_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
28483,1,뮤지컬모차르트,문화공연,뮤지컬,라이선스,368,1385,1753,20230621
28484,2,뮤지컬시카고,문화공연,뮤지컬,라이선스,300,1234,1534,20230621
28485,3,뮤지컬시카고,문화공연,뮤지컬,라이선스,300,1234,1534,20230621
28486,4,뮤지컬영웅,문화공연,뮤지컬,창작,156,1134,1290,20230621
28487,5,뮤지컬빨래,문화공연,뮤지컬,창작,148,653,801,20230621
28488,6,뮤지컬그날들,문화공연,뮤지컬,창작,178,494,672,20230621
28489,7,뮤지컬그날들,문화공연,뮤지컬,창작,178,494,672,20230621
28490,8,뮤지컬그날들,문화공연,뮤지컬,창작,178,494,672,20230621
28491,9,뮤지컬레베카,문화공연,뮤지컬,창작,171,340,511,20230621
28492,10,뮤지컬맘마미아,문화공연,뮤지컬,창작,80,223,303,20230621
