SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,GENRE_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
28453,1,뮤지컬영웅,문화공연,뮤지컬,창작,94,3567,3661,20230618
28454,2,뮤지컬시카고,문화공연,뮤지컬,라이선스,114,1349,1463,20230618
28455,3,뮤지컬시카고,문화공연,뮤지컬,라이선스,114,1349,1463,20230618
28456,4,뮤지컬모차르트,문화공연,뮤지컬,라이선스,118,1250,1368,20230618
28457,5,뮤지컬빨래,문화공연,뮤지컬,창작,70,999,1069,20230618
28458,6,뮤지컬그날들,문화공연,뮤지컬,창작,49,397,446,20230618
28459,7,뮤지컬그날들,문화공연,뮤지컬,창작,49,397,446,20230618
28460,8,뮤지컬그날들,문화공연,뮤지컬,창작,49,397,446,20230618
28461,9,신비아파트뮤지컬,문화공연,뮤지컬,창작,12,309,321,20230618
28462,10,뮤지컬맘마미아,문화공연,뮤지컬,창작,23,289,312,20230618
