SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,GENRE_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
28443,1,뮤지컬영웅,문화공연,뮤지컬,창작,83,3982,4065,20230617
28444,2,뮤지컬모차르트,문화공연,뮤지컬,라이선스,128,1545,1673,20230617
28445,3,뮤지컬시카고,문화공연,뮤지컬,라이선스,107,1378,1485,20230617
28446,4,뮤지컬시카고,문화공연,뮤지컬,라이선스,107,1378,1485,20230617
28447,5,뮤지컬빨래,문화공연,뮤지컬,창작,57,1270,1327,20230617
28448,6,뮤지컬그날들,문화공연,뮤지컬,창작,69,411,480,20230617
28449,7,뮤지컬그날들,문화공연,뮤지컬,창작,69,411,480,20230617
28450,8,뮤지컬그날들,문화공연,뮤지컬,창작,69,411,480,20230617
28451,9,뮤지컬맘마미아,문화공연,뮤지컬,창작,31,293,324,20230617
28452,10,신비아파트뮤지컬,문화공연,뮤지컬,창작,5,315,320,20230617
